date;trial;subject;task;stage;checksum;box;TRIAL_START;TRIAL_END;Port1In_START;Port1Out_START;Port4In_START;Port4Out_START;Port7In_START;Port7Out_START;STATE_center_light_START;STATE_center_light_END;STATE_drink_delay_START;STATE_drink_delay_END;STATE_light_off_START;STATE_light_off_END;STATE_light_on_START;STATE_light_on_END;STATE_side_light_START;STATE_side_light_END;STATE_wait_opto_START;STATE_wait_opto_END;STATE_water_delivery_START;STATE_water_delivery_END;STATE_wrong_side_START;STATE_wrong_side_END;SoftcodeOut1_START;SoftcodeOut20_START;SoftcodeOut6_START;SoftcodeOut7_START;Block_index;Block_type;Prob_block_type;Probability_L_R_blocks;frequency_light;iti_duration;list_prob_R_values;max_dur_light;opto_bool;opto_type;outcome;probability_r;pulse_dur_on;reward_drunk;side;subject_weight;trials_max
2024/08/02;1;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597417.063303;1722597424.456989;;;1722597420.709603;1722597420.869203;1722597421.129803,1722597421.381203;1722597421.369203,1722597421.624403;1722597417.063303;1722597420.709603;1722597421.629803;1722597424.4570029;;;;;1722597420.709603;1722597421.129803;;;;;1722597421.129803;1722597421.629803;1722597421.130227;1722597420.709976;;;0.0;exp;rdm_values;balanced;20;2.8272548040973082;[0.9, 0.8];2.0;1;6;incorrect;0.19999999999999996;0.0125;0;left;0.0;99999.0
2024/08/02;2;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597424.510518;1722597425.984404;;;1722597425.111918;1722597425.140618;1722597425.383818;1722597425.739818;1722597424.510518;1722597425.111918;1722597425.883818;1722597425.9844182;;;;;1722597425.111918;1722597425.383818;;;;;1722597425.383818;1722597425.883818;1722597425.384142;;;;0.0;exp;rdm_values;balanced;20;0.10061664332185284;[0.9, 0.8];2.0;0;6;incorrect;0.19999999999999996;0.0125;0;left;0.0;99999.0
2024/08/02;3;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597426.038105;1722597446.075991;;;1722597444.271305,1722597444.432205;1722597444.303405,1722597444.484705;1722597444.733205;1722597444.931605;1722597426.038105;1722597444.271305;1722597445.233205;1722597446.076005;;;;;1722597444.271305;1722597444.733205;;;;;1722597444.733205;1722597445.233205;1722597444.733999;;;;0.0;exp;rdm_values;balanced;20;0.8428841238922775;[0.9, 0.8];2.0;0;6;incorrect;0.19999999999999996;0.0125;0;left;0.0;99999.0
2024/08/02;4;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597446.13143;1722597452.319716;;;1722597451.0792298;1722597451.1840298;1722597451.47323;1722597451.99503;1722597446.13143;1722597451.0792298;1722597451.97323;1722597452.3197298;;;;;1722597451.0792298;1722597451.47323;;;;;1722597451.47323;1722597451.97323;1722597451.47354;;;;0.0;exp;rdm_values;balanced;20;0.34653961212471274;[0.9, 0.8];2.0;1;6;incorrect;0.19999999999999996;0.0125;0;left;0.0;99999.0
2024/08/02;5;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597452.374894;1722597454.48948;;;1722597453.439294;1722597453.508194;1722597453.725194,1722597454.022894;1722597453.965394,1722597454.069994;1722597452.374894;1722597453.439294;1722597454.225194;1722597454.4894938;;;;;1722597453.439294;1722597453.725194;;;;;1722597453.725194;1722597454.225194;1722597453.72549;;;;0.0;exp;rdm_values;balanced;20;0.26430576605363193;[0.9, 0.8];2.0;1;6;incorrect;0.19999999999999996;0.0125;0;left;0.0;99999.0
2024/08/02;6;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597454.543486;1722597458.509772;;;1722597455.123486;1722597455.152786;1722597455.4018862,1722597455.515586;1722597455.499786,1722597455.887686;1722597454.543486;1722597455.123486;1722597455.9018862;1722597458.509786;;;;;1722597455.123486;1722597455.4018862;;;;;1722597455.4018862;1722597455.9018862;1722597455.402146;;;;0.0;exp;rdm_values;balanced;20;2.6079206885050747;[0.9, 0.8];2.0;1;6;incorrect;0.19999999999999996;0.0125;0;left;0.0;99999.0
2024/08/02;7;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597458.564305;1722597464.600891;;;1722597463.134905;1722597463.170905;1722597463.458005,1722597463.551605,1722597463.8939052;1722597463.518505,1722597463.856905,1722597464.067905;1722597458.564305;1722597463.134905;1722597463.958005;1722597464.6009052;;;;;1722597463.134905;1722597463.458005;;;;;1722597463.458005;1722597463.958005;1722597463.4583;;;;0.0;exp;rdm_values;balanced;20;0.6429279438104443;[0.9, 0.8];2.0;0;6;incorrect;0.19999999999999996;0.0125;0;left;0.0;99999.0
2024/08/02;8;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597464.656644;1722597467.73363;;;1722597464.994744,1722597465.045344;1722597465.0290442,1722597465.0671442;1722597465.2927442;1722597465.709444;1722597464.656644;1722597464.994744;1722597465.7927442;1722597467.733644;;;;;1722597464.994744;1722597465.2927442;;;;;1722597465.2927442;1722597465.7927442;1722597465.293067;;;;0.0;exp;rdm_values;balanced;20;1.9409632878431606;[0.9, 0.8];2.0;1;6;incorrect;0.19999999999999996;0.0125;0;left;0.0;99999.0
2024/08/02;9;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597467.789523;1722597476.1317089;1722597473.3304229;1722597473.376623;1722597469.8860228;1722597469.950023;1722597470.2085228;1722597470.652123;1722597467.789523;1722597469.8860228;1722597474.8304229;1722597476.131723;1722597474.3304229;1722597474.8304229;1722597473.3304229;1722597474.3304229;1722597469.8860228;1722597470.2085228;1722597470.7085228;1722597473.3304229;;;1722597470.2085228;1722597470.7085228;1722597470.208891;;1722597473.331293;1722597474.330919;0.0;exp;rdm_values;balanced;20;7.301381268154753;[0.9, 0.8];2.0;1;6;incorrect;0.19999999999999996;0.0125;0;left;0.0;99999.0
2024/08/02;10;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597476.187214;1722597506.7399;;;1722597504.197714,1722597505.820714;1722597504.2440138,1722597505.979414;1722597504.5228138;1722597505.0328138;1722597476.187214;1722597504.197714;1722597505.0228138;1722597506.739914;;;;;1722597504.197714;1722597504.5228138;;;;;1722597504.5228138;1722597505.0228138;1722597504.524078;;;;0.0;exp;rdm_values;balanced;20;1.717150313226331;[0.9, 0.8];2.0;1;6;incorrect;0.19999999999999996;0.0125;0;left;0.0;99999.0
